Treatment,Site,Site Name,Subplot,Winter '14 plot surveyed,Ehrharta Winter 2014,Rubus Winter 2014,Fragaria Winter 2014,Stachys Winter 2014,Clinopodium Winter 2014,Symphoricarpos albus var. laevigatus,Caprifoliaceae sp Winter 2014,Lonicera hispidula,Carex globosa,Carex sp,Melica subulata Winter 2014,Geranium molle,Geranium Winter 2014,Poison Oak Winter 2014,Rosa gymnocarpa Winter 2014,Oxalis pes capre Winter 2014,Miner's Lettuce Winter 2014,Juncus patens,Sanicula Winter 2014,Psuedotsuga menziezii Winter 2014,Cotoneaster pannosus Winter 2014 ,Galium californicum  Winter 2014,Carduus pycnocephalus Winter 2014,Sword Fern Winter 2014,Wood fern Dryopteris arguta Winter 2014,Bracken Fern Winter 2014,Quercus agrifolia,Quercus sp Winter 2014,Myosotis Winter 2014,Bay Laurel Winter 2014,Iris douglasiana Winter 2014,Spherical opposite leaf ground cover winter 2014,Chinese Fan Winter 2014,Madia? Winter 2014,Unknown Dicot (Narrrow cots) Winter 2014,"""Mouse ears"" Winter 2014",Sm. Round Hairy Cotyldons Winter 2014,Spikey Aster Winter 2014,,
Control,13,West McHenry,1st,3,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Control,13,West McHenry,2nd ,5,85,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Control,13,West McHenry,3rd,1,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Herbicide,13,West McHenry,1st,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Herbicide,13,West McHenry,2nd ,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Herbicide,13,West McHenry,3rd,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pull,13,West McHenry,1st,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pull,13,West McHenry,2nd ,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pull,13,West McHenry,3rd,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Reference,13,West McHenry,1st,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Reference,13,West McHenry,2nd ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Reference,13,West McHenry,3rd,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
